epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
63,3410.1,1.20974,0.54947,0.00228,0.87598,0.80095,0.87361,0.65417,1.16001,0.62978,0.00221,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,3463.5,1.21272,0.55022,0.00226,0.8821,0.81147,0.87947,0.66052,1.14384,0.61505,0.00216,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,3517.07,1.20512,0.54356,0.00223,0.88766,0.80232,0.87626,0.66099,1.1506,0.61355,0.00215,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,3570.57,1.21062,0.55454,0.00227,0.88397,0.82642,0.88424,0.66386,1.15384,0.61344,0.00217,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,3623.52,1.204,0.54192,0.00223,0.8946,0.8066,0.88121,0.66381,1.14761,0.61741,0.00216,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,3676.88,1.19992,0.54516,0.00223,0.89841,0.80249,0.88008,0.66642,1.13997,0.62015,0.00214,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,3730.24,1.20271,0.54844,0.00223,0.88825,0.80612,0.87599,0.66299,1.13957,0.62806,0.00213,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,3783.42,1.1976,0.54149,0.00224,0.87137,0.81932,0.88211,0.6688,1.13252,0.61443,0.00213,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,3836.5,1.18632,0.53742,0.00222,0.8976,0.8055,0.87873,0.66365,1.13153,0.61184,0.00213,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,3890.03,1.18256,0.53066,0.00221,0.89719,0.81497,0.88137,0.66979,1.13226,0.60825,0.00211,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,3943.37,1.18109,0.53444,0.00219,0.88279,0.82378,0.88444,0.67171,1.13367,0.60988,0.00211,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,3996.48,1.16367,0.52154,0.00216,0.89514,0.81374,0.88299,0.6666,1.12557,0.60886,0.00213,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,4049.53,1.16958,0.5275,0.00218,0.88797,0.81694,0.88037,0.6661,1.12895,0.60534,0.00212,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,4102.7,1.17258,0.52649,0.00216,0.87923,0.82252,0.88369,0.66836,1.13426,0.6044,0.00212,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,4156.1,1.1688,0.5272,0.00218,0.87516,0.82153,0.88403,0.66889,1.1356,0.61015,0.00213,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,4209.85,1.16805,0.52753,0.00217,0.88985,0.8072,0.87911,0.66899,1.13135,0.61662,0.00211,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,4263.41,1.15808,0.51963,0.00217,0.88614,0.81395,0.88063,0.67053,1.12091,0.60886,0.00209,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,4316.69,1.15904,0.52448,0.00214,0.88892,0.81688,0.8822,0.66913,1.1346,0.61158,0.00212,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,4370.54,1.15633,0.5143,0.00214,0.88076,0.81785,0.88436,0.66689,1.13986,0.60316,0.00212,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
