epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
69,4647.98,1.24987,0.6925,0.00251,0.87465,0.83335,0.90925,0.67833,1.05986,0.59328,0.00221,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
70,4715.45,1.24104,0.6788,0.00252,0.88285,0.82454,0.90777,0.67672,1.06413,0.59819,0.00222,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845
71,4783.47,1.23228,0.67693,0.00248,0.88921,0.83685,0.91365,0.6808,1.06366,0.58835,0.00223,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
72,4851.95,1.22879,0.67031,0.00248,0.88869,0.83852,0.91163,0.67842,1.0648,0.5911,0.00222,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855
73,4920.3,1.23368,0.67472,0.00248,0.88769,0.82851,0.90536,0.67781,1.05989,0.59909,0.00222,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
74,4987.81,1.22495,0.66328,0.00248,0.89692,0.83215,0.91258,0.68418,1.05488,0.58794,0.0022,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865
75,5055.14,1.22663,0.66737,0.00248,0.89443,0.83497,0.91256,0.68144,1.05934,0.58719,0.00221,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
76,5122.61,1.22871,0.66247,0.00246,0.8964,0.82537,0.91024,0.68082,1.05774,0.58606,0.00221,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
77,5190.39,1.22889,0.6666,0.0025,0.89363,0.83022,0.91391,0.68334,1.05925,0.58422,0.00221,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
78,5258.58,1.22869,0.66461,0.00248,0.90093,0.83421,0.91451,0.67979,1.06192,0.58804,0.00223,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885
