epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,1902.06,1.23284,0.56234,0.00234,0.88466,0.81069,0.87779,0.65448,1.18353,0.6361,0.00226,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,1964,1.22732,0.55644,0.00231,0.88066,0.81886,0.88305,0.66444,1.16847,0.61865,0.00221,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,2027.37,1.23513,0.56341,0.00232,0.89704,0.80728,0.88271,0.65842,1.16007,0.62556,0.00222,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,2089.04,1.22187,0.55593,0.00233,0.88583,0.80712,0.8757,0.65002,1.18325,0.62392,0.00222,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,2150.64,1.22577,0.55706,0.00231,0.88944,0.81488,0.88278,0.66084,1.17534,0.61731,0.00221,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,2212.29,1.22975,0.5583,0.0023,0.89388,0.80768,0.8806,0.6594,1.17561,0.61728,0.00224,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,2274.17,1.21618,0.55116,0.00231,0.88985,0.81213,0.87646,0.65374,1.18138,0.62427,0.00224,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,2336.22,1.22046,0.557,0.0023,0.88948,0.82331,0.88353,0.65993,1.17769,0.61448,0.00224,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,2398.61,1.21661,0.55079,0.00228,0.89287,0.80372,0.87438,0.65755,1.16679,0.62772,0.00219,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,2460.52,1.21163,0.54552,0.00226,0.88998,0.81038,0.87832,0.65744,1.17431,0.63567,0.00224,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,2522.6,1.21623,0.54702,0.00225,0.89572,0.81325,0.87167,0.65661,1.16751,0.62599,0.0022,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,2584.24,1.2096,0.54367,0.00225,0.88491,0.81604,0.87414,0.65312,1.18686,0.62832,0.00226,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,2646.89,1.2145,0.54626,0.00225,0.88072,0.8209,0.87854,0.65819,1.16638,0.62677,0.0022,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,2708.48,1.20737,0.54631,0.00226,0.88997,0.81272,0.87637,0.66092,1.15375,0.63608,0.00217,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,2770.79,1.20189,0.54057,0.00224,0.8986,0.80296,0.87619,0.65959,1.15374,0.61455,0.00218,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,2832.89,1.19565,0.53674,0.00225,0.8947,0.78938,0.87055,0.65326,1.17602,0.64117,0.00223,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,2894.85,1.19832,0.54014,0.00222,0.89212,0.80725,0.87927,0.66265,1.14566,0.61751,0.00215,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,2957.58,1.20049,0.53886,0.00225,0.89177,0.81927,0.8835,0.66787,1.14239,0.61842,0.00214,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,3020.24,1.19503,0.53751,0.00219,0.89923,0.81123,0.87446,0.65932,1.15911,0.62686,0.0022,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,3082.13,1.18771,0.53384,0.00223,0.89053,0.81375,0.8772,0.65968,1.15928,0.61855,0.0022,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,3144.01,1.18878,0.5325,0.0022,0.90294,0.81026,0.87353,0.65963,1.16366,0.62978,0.00218,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,3205.74,1.17676,0.52871,0.00218,0.89352,0.81112,0.87331,0.66,1.15129,0.6151,0.00216,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,3267.99,1.18364,0.53345,0.00217,0.90352,0.79782,0.87347,0.65919,1.15832,0.63614,0.00221,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,3329.81,1.18168,0.5286,0.00218,0.89446,0.81722,0.87423,0.66469,1.14686,0.62265,0.00216,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,3391.58,1.17317,0.52548,0.00219,0.89069,0.81748,0.87976,0.66519,1.15161,0.6098,0.00215,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,3453.23,1.17114,0.5241,0.00215,0.89028,0.82177,0.87865,0.66593,1.14917,0.6182,0.00214,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
